PSMILES,labels.Exp_Tg(K),meta.reliability
[*]#C[SiH2]C#Cc1cccc(C#[*])c1,345.15,black
[*]#Cc1cccc(C#C[SiH](C#[*])c2ccccc2)c1,358.15,black
[*]#Cc1ccccc1C#C[SiH](C#[*])c1ccccc1,344.15,black
[*]/C(=C(/[*])c1ccc(C(C)(C)C)cc1)c1ccccc1,473.15,black
[*]/C(=C(/[*])c1ccc(CCCC)cc1)c1ccccc1,473.15,black
[*]/C(=C(/[*])c1ccc(Oc2ccccc2)cc1)c1ccccc1,473.15,black
[*]/C(=C(/[*])c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,523.15,black
[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,473.15,black
[*]/C(=C(/[*])c1cccc([Ge](C)(C)C)c1)c1ccccc1,473.15,black
[*]/C(=C(/[*])c1cccc([Si](C)(C)C)c1)c1ccccc1,473.15,black
[*]/C(C#N)=C/c1cc(C=C(C#N)c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc([*])ccc2-3)cc(N(c2ccccc2)c2ccccc2)c1,409.15,black
[*]/C(C)=C(/[*])CCC,473.15,black
[*]/C(C)=C(/[*])CCCCC,453.15,black
[*]/C(C)=C(/[*])CCCCCCC,433.15,black
[*]/C(C)=C(/[*])SCC,433.15,black
[*]/C(C)=C(/[*])SCCCCCC,383.15,black
[*]/C(C)=C(/[*])SCCCCCCCCCC,333.15,black
[*]/C(C)=C(/[*])[Ge](C)(C)C,523.15,black
[*]/C(C)=C(/[*])[Si](C)(C)C,348.15,black
[*]/C(C)=C(/[*])[Si](C)(C)CCCCCC,473.15,black
[*]/C(C)=C(/[*])[Si](C)(C)CC[Si](C)(C)C,473.15,black
[*]/C(C)=C(/[*])[Si](C)(C)C[Si](C)(C)C,473.15,black
[*]/C(C)=C(/[*])c1ccc([Si](C)(C)C)cc1,268.15,black
[*]/C(CC)=C(/[*])c1ccccc1,473.15,black
[*]/C(CCCCCC)=C(/[*])c1ccccc1,473.15,black
[*]/C(Cl)=C(/[*])CCCC,463.15,black
[*]/C(Cl)=C(/[*])CCCCCC,423.15,black
[*]/C(Cl)=C(/[*])CCCCCCCC,363.15,black
[*]/C(Cl)=C(/[*])c1ccccc1,488.15,black
[*]/C=C(/[*])C(C)(C)C,473.15,black
[*]/C=C(/[*])C(CCC)[Si](C)(C)CCCCCC,313.15,black
[*]/C=C(/[*])C(CCC)[Si](C)(C)c1ccccc1,383.15,black
[*]/C=C(/[*])C(CCCCC)[Si](C)(C)C,443.15,black
[*]/C=C(/[*])C(CCCCCCC)[Si](C)(C)C,423.15,black
[*]/C=C(/[*])CCCOC(=O)c1cc(-c2ccc(OC)cc2)ccc1-c1ccc(OC)cc1,345.55,black
[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OC)cc2)cc1,293.15,black
[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OCCCC)cc2)cc1,309.15,black
[*]/C=C(/[*])CCCOc1ccc(OC(=O)c2ccc(OCCCCCCCC)cc2)cc1,315.15,black
[*]/C=C(/[*])c1c(C)cc(C(C)(C)C)cc1C,473.15,black
[*]/C=C(/[*])c1c(F)c(F)c(CCCC)c(F)c1F,383.15,black
